customer_id,customer_name,segment,recency,frequency,monetary,avg_discount,avg_margin,num_channels,churn_prob,segment_label,recommended_action,priority
TC-20980,Tamara Chand,Corporate,399,5,8981.323900000001,0.11666666666666665,0.21291666666666664,3,,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
RB-19360,Raymond Buch,Consumer,96,6,6976.0959,0.09444444444444444,0.20962962962962958,3,0.0027727569,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
SC-20095,Sanjit Chand,Consumer,349,9,5757.411899999999,0.06363636363636364,0.2630681818181818,3,,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
HL-15040,Hunter Lopez,Consumer,43,6,5622.4292000000005,0.018181818181818184,0.3140909090909091,3,0.0050945855,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
AB-10105,Adrian Barton,Consumer,41,10,5444.8055,0.24,-0.08312500000000003,3,,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
TA-21385,Tom Ashbrook,Home Office,69,4,4703.7883,0.07999999999999999,0.145,3,,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
CM-12385,Christopher Martinez,Consumer,37,4,3899.8903999999998,0.12,0.179,3,,Champions,VIP loyalty rewards + cross-sell premium products,HIGH
TB-21400,Tom Boeckenhauer,Consumer,202,7,2798.3689,0.07058823529411766,0.2973529411764706,3,0.9943731,Loyal,Upsell to higher-margin categories (Technology),HIGH
SR-20740,Steven Roelle,Home Office,196,8,1990.4243999999999,0.03333333333333333,0.35000000000000003,3,0.9952793,Loyal,Upsell to higher-margin categories (Technology),HIGH
SD-20485,Shirley Daniels,Home Office,200,9,1985.1671999999999,0.10476190476190476,0.20217498110355253,3,0.9931265,Loyal,Upsell to higher-margin categories (Technology),HIGH
CL-12565,Clay Ludtke,Consumer,284,12,1933.7830999999999,0.1142857142857143,0.24482142857142855,3,0.9945568,Loyal,Upsell to higher-margin categories (Technology),HIGH
PS-19045,Penelope Sewall,Home Office,236,7,1742.7296999999999,0.0846153846153846,0.22307692307692306,3,0.9935235,Loyal,Upsell to higher-margin categories (Technology),HIGH
NM-18520,Neoma Murray,Consumer,244,10,788.9525000000001,0.26,0.000277777777777762,3,0.99538666,Loyal,Upsell to higher-margin categories (Technology),HIGH
AG-10270,Alejandro Grove,Consumer,278,5,732.7399,0.014285714285714287,0.27071428571428574,3,0.99798393,Lost,Win-back campaign: targeted 10% coupon,HIGH
FH-14350,Fred Harton,Consumer,212,4,706.289,0.10714285714285714,0.21916666666666668,3,0.99667215,Lost,Win-back campaign: targeted 10% coupon,HIGH
SC-20260,Scott Cohen,Corporate,187,8,671.0033999999999,0.19722222222222222,-0.05892156862745099,3,0.994111,Loyal,Upsell to higher-margin categories (Technology),HIGH
NP-18685,Nora Pelletier,Home Office,406,6,514.5017,0.18571428571428572,0.18916666666666665,3,0.9956677,At Risk,Win-back campaign: targeted 10% coupon,HIGH
TB-21280,Toby Braunhardt,Consumer,583,6,490.9567,0.1,0.2633333333333333,3,0.99565154,At Risk,Win-back campaign: targeted 10% coupon,HIGH
ND-18460,Neil Ducich,Corporate,183,6,443.33680000000004,0.0875,0.2128125,3,0.9944593,Lost,Win-back campaign: targeted 10% coupon,HIGH
DB-13405,Denny Blanton,Consumer,187,4,438.9092,0.028571428571428574,0.3001785714285714,3,0.99769896,Lost,Win-back campaign: targeted 10% coupon,HIGH
GR-14560,Georgia Rosenberg,Corporate,1135,2,359.83320000000003,0.0,0.426,3,0.9974343,At Risk,Win-back campaign: targeted 10% coupon,HIGH
LH-17155,Logan Haushalter,Consumer,385,9,316.5202,0.07894736842105263,0.263172514619883,3,0.99260896,Loyal,Upsell to higher-margin categories (Technology),HIGH
BV-11245,Benjamin Venier,Corporate,334,5,315.2214,0.09285714285714285,0.259047619047619,3,0.99642783,At Risk,Win-back campaign: targeted 10% coupon,HIGH
JE-15475,Jeremy Ellison,Consumer,193,6,276.2197,0.18461538461538465,-0.018846153846153887,3,0.99685436,Lost,Win-back campaign: targeted 10% coupon,HIGH
SH-20635,Stefanie Holloman,Corporate,765,2,260.6258,0.2,0.16249999999999995,2,0.9976642,At Risk,Win-back campaign: targeted 10% coupon,HIGH
BW-11200,Ben Wallace,Consumer,203,6,246.9973,0.15,0.06588888888888886,3,0.9970311,Lost,Win-back campaign: targeted 10% coupon,HIGH
MK-18160,Mike Kennedy,Consumer,240,4,227.83380000000002,0.0818181818181818,0.24075757575757573,3,0.9958554,Lost,Win-back campaign: targeted 10% coupon,HIGH
RE-19450,Richard Eichhorn,Consumer,302,5,209.2294,0.13333333333333333,0.20805555555555555,2,0.9966312,Lost,Win-back campaign: targeted 10% coupon,HIGH
JG-15805,John Grady,Corporate,223,6,206.1019,0.06666666666666668,0.24000000000000002,2,0.9961707,Lost,Win-back campaign: targeted 10% coupon,HIGH
PM-18940,Paul MacIntyre,Consumer,386,3,157.8768,0.15,0.10714285714285718,2,0.99831045,At Risk,Win-back campaign: targeted 10% coupon,HIGH
CS-12130,Chad Sievert,Consumer,489,4,143.8339,0.1142857142857143,0.23785714285714282,3,0.99665266,At Risk,Win-back campaign: targeted 10% coupon,HIGH
TP-21565,Tracy Poddar,Corporate,350,4,139.22869999999995,0.24,0.012499999999999994,3,0.99745935,At Risk,Win-back campaign: targeted 10% coupon,HIGH
DH-13675,Duane Huffman,Home Office,776,4,116.667,0.12272727272727274,0.17665775401069517,3,0.99655837,At Risk,Win-back campaign: targeted 10% coupon,HIGH
TT-21265,Tim Taslimi,Corporate,406,3,93.9162,0.0,0.25,2,0.9981976,At Risk,Win-back campaign: targeted 10% coupon,HIGH
CM-12445,Chuck Magee,Consumer,436,3,64.4296,0.07777777777777778,0.2675396825396825,3,0.9975037,At Risk,Win-back campaign: targeted 10% coupon,HIGH
EH-13945,Eric Hoffmann,Consumer,217,8,53.53980000000001,0.29411764705882354,-0.08602941176470592,3,0.99479514,Loyal,Upsell to higher-margin categories (Technology),HIGH
GP-14740,Guy Phonely,Corporate,765,2,31.837600000000002,0.13999999999999999,0.17599999999999996,2,0.99798834,At Risk,Win-back campaign: targeted 10% coupon,HIGH
TS-21085,Thais Sissman,Consumer,357,2,-3.3156,0.7,-0.6833333333333333,2,0.9980373,At Risk,Win-back campaign: targeted 10% coupon,HIGH
SG-20890,Susan Gilcrest,Corporate,226,3,-3.7073,0.4,-0.5015000000000001,1,0.99813676,Lost,Win-back campaign: targeted 10% coupon,HIGH
SM-20005,Sally Matthias,Consumer,421,4,-26.5927,0.26666666666666666,-0.020000000000000018,2,0.9971943,At Risk,Win-back campaign: targeted 10% coupon,HIGH
AC-10660,Anna Chung,Consumer,282,5,-28.700399999999995,0.18333333333333335,0.061607142857142895,3,0.9975152,Lost,Win-back campaign: targeted 10% coupon,HIGH
SG-20470,Sheri Gordon,Consumer,183,8,-119.0105,0.15,0.1032936507936508,3,0.99228454,Loyal,Upsell to higher-margin categories (Technology),HIGH
HD-14785,Harold Dahlen,Home Office,769,3,-135.87599999999998,0.3,-0.10809523809523812,3,0.9982502,At Risk,Win-back campaign: targeted 10% coupon,HIGH
PC-19000,Pauline Chand,Home Office,882,2,-184.3364,0.13333333333333333,0.029166666666666674,2,0.9985324,At Risk,Win-back campaign: targeted 10% coupon,HIGH
AH-10465,Amy Hunt,Consumer,230,5,-196.12009999999998,0.14,0.13237132352941178,3,0.9977315,Lost,Win-back campaign: targeted 10% coupon,HIGH
PF-19120,Peter Fuller,Consumer,835,4,-614.2943000000001,0.12105263157894738,0.05497076023391811,3,0.9968131,At Risk,Win-back campaign: targeted 10% coupon,HIGH
PK-18910,Paul Knutson,Home Office,483,2,-798.705,0.3666666666666667,-0.11777777777777776,3,0.9983724,At Risk,Win-back campaign: targeted 10% coupon,HIGH
KD-16495,Keith Dawkins,Corporate,112,12,3038.6254,0.08750000000000001,0.24519432773109243,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AR-10540,Andy Reiter,Consumer,6,6,2884.6208,0.06666666666666668,0.3844444444444444,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
DR-12940,Daniel Raglin,Home Office,50,8,2869.0759999999996,0.15384615384615383,0.03910256410256408,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
NM-18445,Nathan Mautz,Home Office,160,7,2751.6848999999997,0.042857142857142864,0.3260119047619047,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
SE-20110,Sanjit Engle,Consumer,9,11,2650.6769,0.1105263157894737,0.19394736842105262,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
BS-11365,Bill Shonely,Corporate,558,5,2616.0643999999998,0.011111111111111112,0.26999999999999996,3,,At Risk,Re-engagement email: show personalized deals,LOW
HM-14860,Harry Marie,Corporate,2,10,2437.9836,0.231,-0.08982422969187676,3,0.0020636998,Loyal,Upsell to higher-margin categories (Technology),LOW
TS-21370,Todd Sumrall,Corporate,36,6,2371.7144000000003,0.11666666666666667,0.0779567382508559,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
CC-12370,Christopher Conant,Consumer,43,5,2177.0493,0.2818181818181818,-0.010757575757575744,3,0.0045723924,Loyal,Upsell to higher-margin categories (Technology),LOW
JW-15220,Jane Waco,Corporate,42,6,2173.7093999999997,0.07142857142857142,0.2632142857142857,3,0.0027505818,Loyal,Upsell to higher-margin categories (Technology),LOW
HW-14935,Helen Wasserman,Corporate,117,8,2164.1611,0.045,0.2536071428571428,3,0.002705923,Loyal,Upsell to higher-margin categories (Technology),LOW
GT-14710,Greg Tran,Consumer,36,11,2163.4269,0.1,0.285628078817734,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
LA-16780,Laura Armstrong,Corporate,154,11,2059.1199,0.11538461538461539,0.2276923076923077,3,0.0017494181,Loyal,Upsell to higher-margin categories (Technology),LOW
FH-14365,Fred Hopkins,Corporate,5,8,2050.2826,0.13846153846153847,0.14444444444444443,3,0.0022501885,Loyal,Upsell to higher-margin categories (Technology),LOW
BM-11650,Brian Moss,Corporate,33,11,2041.4079,0.08750000000000001,0.2559167833800186,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
PK-19075,Pete Kriz,Consumer,9,12,2038.2676000000001,0.07600000000000001,0.30567142857142854,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AB-10060,Adam Bellavance,Home Office,54,8,2031.5021,0.047058823529411764,0.3372058823529412,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
RM-19675,Robert Marley,Home Office,6,5,1902.5438000000001,0.045454545454545456,0.326010101010101,3,,Loyal,Upsell to higher-margin categories (Technology),LOW
AD-10180,Alan Dominguez,Home Office,29,8,1869.9294,0.05833333333333333,0.3019345238095238,2,,Loyal,Upsell to higher-margin categories (Technology),LOW
